,0
0,North Dakota
1,Colorado
2,Florida
3,Oklahoma
4,South Carolina
5,Hawaii
6,New Hampshire
7,Arizona
8,Nebraska
9,Wyoming
10,Kansas
11,Tennessee
12,Texas
13,Missouri
14,Idaho
15,Virginia
16,West Virginia
17,Washington
18,New York
19,Oregon
20,Louisiana
21,Delaware
22,Arkansas
23,Utah
24,Wisconsin
25,South Dakota
26,Kentucky
27,North Carolina
28,Minnesota
29,Maine
30,Massachusetts
31,Illinois
32,Alabama
33,Maryland
34,Mississippi
35,New Mexico
36,California
37,Connecticut
38,Vermont
39,Montana
40,Indiana
41,New Jersey
42,Rhode Island
43,Michigan
44,Nevada
45,Pennsylvania
46,Georgia
47,Iowa
48,Alaska
